Unnamed: 0,시각,이동시간,이동시간_lag1,이동시간_lag2,이동시간_lag3,이동시간_lag4,이동시간_lag5,이동시간_lag6,이동시간_lag7,이동시간_lag8,이동시간_lag9,이동시간_lag10,이동시간_lag11,이동시간_lag12,이동시간_lag13,이동시간_lag14,이동시간_lag15,이동시간_lag16,이동시간_lag17,이동시간_lag18,이동시간_lag19,이동시간_lag20,이동시간_lag21,이동시간_lag22,이동시간_lag23,이동시간_lag24,resid,trend,seasonal
392,202101609.0,264.683,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,4.409364503265673,250.54171875000003,-5.7095832532657
393,202101610.0,271.116,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,-5.726989988921794,250.72297916666668,1.1290108222551185
394,202101611.0,278.333,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,-9.655943981977382,250.41858333333337,8.953360648644017
395,202101612.0,279.883,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,-3.25224856097034,250.2707708333333,13.405977727637062
396,202101613.0,278.7245,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,0.4850718600365162,250.55671875,14.624709389963453
397,202101614.0,271.108,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,4.901168431217091,250.91853125000003,15.138300318782909
398,202101615.0,279.733,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,2.4984189737518463,251.2914375,16.726143526248173
399,202101616.0,278.3163333333333,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,-11.84890741513702,251.27192708333328,14.681980331803729
400,202101617.0,276.416,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,9.54712980274486,251.3480833333333,13.579286863921784
401,202101618.0,282.133,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,20.10845413000185,252.192875,11.631670869998157
